Year,Years Until Retirement,Retirement Goal,Roth IRA Balance,Inheritance Value,Total Assets,Shortfall/Surplus
0,35,"800,000.00","27,200.00","3,000,000.00","3,027,200.00","2,227,200.00"
1,34,"824,000.00","36,604.00","3,120,000.00","3,156,604.00","2,332,604.00"
2,33,"848,720.00","46,666.28","3,244,800.00","3,291,466.28","2,442,746.28"
3,32,"874,181.60","57,432.92","3,374,592.00","3,432,024.92","2,557,843.32"
4,31,"900,407.05","68,953.22","3,509,575.68","3,578,528.90","2,678,121.86"
5,30,"927,419.26","81,279.95","3,649,958.71","3,731,238.66","2,803,819.40"
6,29,"955,241.84","94,469.55","3,795,957.06","3,890,426.60","2,935,184.76"
7,28,"983,899.09","108,582.41","3,947,795.34","4,056,377.75","3,072,478.66"
8,27,"1,013,416.07","123,683.18","4,105,707.15","4,229,390.33","3,215,974.27"
9,26,"1,043,818.55","139,841.01","4,269,935.44","4,409,776.44","3,365,957.90"
10,25,"1,075,133.10","157,129.88","4,440,732.85","4,597,862.73","3,522,729.63"
11,24,"1,107,387.10","175,628.97","4,618,362.17","4,793,991.14","3,686,604.04"
12,23,"1,140,608.71","195,423.00","4,803,096.66","4,998,519.65","3,857,910.94"
13,22,"1,174,826.97","216,602.61","4,995,220.52","5,211,823.13","4,036,996.16"
14,21,"1,210,071.78","239,264.79","5,195,029.34","5,434,294.13","4,224,222.35"
15,20,"1,246,373.93","263,513.32","5,402,830.52","5,666,343.84","4,419,969.91"
16,19,"1,283,765.15","289,459.26","5,618,943.74","5,908,402.99","4,624,637.84"
17,18,"1,322,278.11","317,221.40","5,843,701.49","6,160,922.89","4,838,644.78"
18,17,"1,361,946.45","346,926.90","6,077,449.55","6,424,376.45","5,062,430.00"
19,16,"1,402,804.84","378,711.78","6,320,547.53","6,699,259.31","5,296,454.47"
20,15,"1,444,888.99","412,721.61","6,573,369.43","6,986,091.04","5,541,202.05"
21,14,"1,488,235.66","449,112.12","6,836,304.21","7,285,416.33","5,797,180.67"
22,13,"1,532,882.73","488,049.97","7,109,756.37","7,597,806.35","6,064,923.62"
23,12,"1,578,869.21","529,713.47","7,394,146.63","7,923,860.10","6,344,990.89"
24,11,"1,626,235.29","574,293.41","7,689,912.49","8,264,205.91","6,637,970.62"
25,10,"1,675,022.34","621,993.95","7,997,508.99","8,619,502.95","6,944,480.60"
26,9,"1,725,273.01","673,033.53","8,317,409.35","8,990,442.88","7,265,169.87"
27,8,"1,777,031.20","727,645.87","8,317,409.35","9,045,055.23","7,268,024.02"
28,7,"1,830,342.14","786,081.09","8,317,409.35","9,103,490.44","7,273,148.30"
29,6,"1,885,252.40","848,606.76","8,317,409.35","9,166,016.12","7,280,763.71"
30,5,"1,941,809.98","915,509.23","8,317,409.35","9,232,918.59","7,291,108.61"
31,4,"2,000,064.28","987,094.88","8,317,409.35","9,304,504.24","7,304,439.96"
32,3,"2,060,066.20","1,063,691.52","8,317,409.35","9,381,100.88","7,321,034.67"
33,2,"2,121,868.19","1,145,649.93","8,317,409.35","9,463,059.28","7,341,191.09"
34,1,"2,185,524.24","1,233,345.42","8,317,409.35","9,550,754.78","7,365,230.54"
35,0,"2,251,089.96","1,327,179.60","8,317,409.35","9,644,588.96","7,393,498.99"
