Year,Keep_house,Sell_and_invest,Sell_plus_2pct_wd,Sell_cash,Sell_invest,Withdrawal_2pct,Withdrawal_2pct_today_dollars,Diff_S2_minus_S1,Eugene_house_value,Other_house_value,Roth_IRA_balance,S2_plus_inheritance,Inheritance_portfolio_projected,Inheritance_my_share
0,"864,000.00","864,000.00","864,000.00",0.00,0.00,0.00,0.00,0.00,"864,000.00","316,000.00","35,500.00","3,864,000.00","9,000,000.00","3,000,000.00"
1,"867,456.00","867,456.00","867,456.00",0.00,0.00,0.00,0.00,0.00,"867,456.00","317,264.00","44,985.00","4,002,456.00","9,405,000.00","3,135,000.00"
2,"870,925.82","870,925.82","870,925.82",0.00,0.00,0.00,0.00,0.00,"870,925.82","318,533.06","55,133.95","4,147,000.82","9,828,225.00","3,276,075.00"
3,"874,409.53","865,743.82","865,743.82","208,760.92","656,982.90",0.00,0.00,"-8,665.71","874,409.53","319,807.19","65,993.33","4,289,242.19","10,270,495.12","3,423,498.37"
4,"877,907.17","915,907.84","915,907.84","212,936.14","702,971.70",0.00,0.00,"38,000.67","877,907.17","321,086.42","77,612.86","4,493,463.64","10,732,667.41","3,577,555.80"
5,"881,418.79","969,374.58","969,374.58","217,194.86","752,179.72",0.00,0.00,"87,955.78","881,418.79","322,370.76","90,045.76","4,707,920.39","11,215,637.44","3,738,545.81"
6,"884,944.47","1,026,371.06","1,026,371.06","221,538.76","804,832.30",0.00,0.00,"141,426.59","884,944.47","323,660.25","103,348.96","4,933,151.43","11,720,341.12","3,906,780.37"
7,"888,484.25","1,087,140.09","1,087,140.09","225,969.53","861,170.56",0.00,0.00,"198,655.84","888,484.25","324,954.89","117,583.39","5,169,725.58","12,247,756.47","4,082,585.49"
8,"892,038.18","1,151,941.42","1,151,941.42","230,488.92","921,452.50",0.00,0.00,"259,903.24","892,038.18","326,254.71","132,814.23","5,418,243.26","12,798,905.52","4,266,301.84"
9,"895,606.34","1,221,052.87","1,221,052.87","235,098.70","985,954.17",0.00,0.00,"325,446.54","895,606.34","327,559.73","149,111.22","5,679,338.30","13,374,856.26","4,458,285.42"
10,"899,188.76","1,294,771.64","1,294,771.64","239,800.68","1,054,970.96",0.00,0.00,"395,582.88","899,188.76","328,869.96","166,549.01","5,953,679.91","13,976,724.80","4,658,908.27"
11,"902,785.52","1,373,415.62","1,373,415.62","244,596.69","1,128,818.93",0.00,0.00,"470,630.10","902,785.52","330,185.44","185,207.44","6,241,974.76","14,605,677.41","4,868,559.14"
12,"906,396.66","1,457,324.88","1,457,324.88","249,488.62","1,207,836.26",0.00,0.00,"550,928.22","906,396.66","331,506.19","205,171.96","6,544,969.18","15,262,932.89","5,087,644.30"
13,"910,022.25","1,546,863.19","1,546,863.19","254,478.40","1,292,384.79",0.00,0.00,"636,840.94","910,022.25","332,832.21","226,534.00","6,863,451.48","15,949,764.88","5,316,588.29"
