Year,Years Until Retirement,Retirement Goal,Roth IRA Balance,Inheritance Value,Total Assets,Shortfall/Surplus
0,35,"1,021,276.60","35,300.00","3,000,000.00","3,035,300.00","2,014,023.40"
1,34,"1,051,914.89","44,771.00","3,120,000.00","3,164,771.00","2,112,856.11"
2,33,"1,083,472.34","54,904.97","3,244,800.00","3,299,704.97","2,216,232.63"
3,32,"1,115,976.51","65,748.32","3,374,592.00","3,440,340.32","2,324,363.81"
4,31,"1,149,455.81","77,350.70","3,509,575.68","3,586,926.38","2,437,470.57"
5,30,"1,183,939.48","89,765.25","3,649,958.71","3,739,723.96","2,555,784.48"
6,29,"1,219,457.66","103,048.82","3,795,957.06","3,899,005.87","2,679,548.21"
7,28,"1,256,041.39","117,262.23","3,947,795.34","4,065,057.57","2,809,016.18"
8,27,"1,293,722.64","132,470.59","4,105,707.15","4,238,177.74","2,944,455.11"
9,26,"1,332,534.32","148,743.53","4,269,935.44","4,418,678.97","3,086,144.65"
10,25,"1,372,510.34","166,155.58","4,440,732.85","4,606,888.43","3,234,378.09"
11,24,"1,413,685.66","184,786.47","4,618,362.17","4,803,148.64","3,389,462.98"
12,23,"1,456,096.22","204,721.52","4,803,096.66","5,007,818.18","3,551,721.95"
13,22,"1,499,779.11","226,052.03","4,995,220.52","5,221,272.55","3,721,493.44"
14,21,"1,544,772.48","248,875.67","5,195,029.34","5,443,905.01","3,899,132.53"
15,20,"1,591,115.66","273,296.97","5,402,830.52","5,676,127.48","4,085,011.82"
16,19,"1,638,849.13","299,427.76","5,618,943.74","5,918,371.49","4,279,522.36"
17,18,"1,688,014.60","327,387.70","5,843,701.49","6,171,089.18","4,483,074.58"
18,17,"1,738,655.04","357,304.84","6,077,449.55","6,434,754.38","4,696,099.34"
19,16,"1,790,814.69","389,316.18","6,320,547.53","6,709,863.70","4,919,049.01"
20,15,"1,844,539.13","423,568.31","6,573,369.43","6,996,937.74","5,152,398.60"
21,14,"1,899,875.31","460,218.09","6,836,304.21","7,296,522.30","5,396,646.99"
22,13,"1,956,871.57","499,433.36","7,109,756.37","7,609,189.73","5,652,318.16"
23,12,"2,015,577.71","541,393.69","7,394,146.63","7,935,540.32","5,919,962.61"
24,11,"2,076,045.04","586,291.25","7,689,912.49","8,276,203.74","6,200,158.70"
25,10,"2,138,326.40","634,331.64","7,689,912.49","8,324,244.13","6,185,917.73"
26,9,"2,202,476.19","685,734.85","7,689,912.49","8,375,647.35","6,173,171.16"
27,8,"2,268,550.47","740,736.29","7,689,912.49","8,430,648.78","6,162,098.31"
28,7,"2,336,606.99","799,587.83","7,689,912.49","8,489,500.33","6,152,893.34"
29,6,"2,406,705.20","862,558.98","7,689,912.49","8,552,471.47","6,145,766.28"
30,5,"2,478,906.35","929,938.11","7,689,912.49","8,619,850.60","6,140,944.25"
31,4,"2,553,273.54","1,002,033.77","7,689,912.49","8,691,946.27","6,138,672.73"
32,3,"2,629,871.75","1,079,176.14","7,689,912.49","8,769,088.63","6,139,216.88"
33,2,"2,708,767.90","1,161,718.47","7,689,912.49","8,851,630.96","6,142,863.06"
34,1,"2,790,030.94","1,250,038.76","7,689,912.49","8,939,951.26","6,149,920.32"
35,0,"2,873,731.87","1,344,541.47","7,689,912.49","9,034,453.97","6,160,722.10"
